Codigo,ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
A01A,1,Amarales,1,A01,2.849301,-78.222562,04/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,29,23,23.39160827246862,33.667742379539746,1022.9216575732218,35.87491665062762,22.61475988,34.33653178,1023.66719,35.89985126,239,239,239,239,3.652257358247589,1.2734991197683403,2.0884353592892095,20.730433476283444,18.76971592,30.19152105,1018.848429,0.150530634,27.80597871,34.99795309,1025.389286,71.61710117
A01B,2,Amarales,1,A01,2.849301,-78.222562,04/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,36,40,24.713564189655173,32.949454260086206,1021.9932514353447,34.86052215826293,26.941677095,32.87022023,1021.2929605,34.885266134999995,232,232,232,232,3.3867264240200186,1.701352501197106,2.300569067323257,20.144635329003737,19.32753181,27.58027098,1016.561456,0.15086911,28.83378274,34.89940086,1025.160508,69.58995472
A02A,3,Amarales,2,A02,2.816773,-78.22249,04/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,29,29,24.47456677639344,33.275594215081966,1022.2788784153006,27.48323121251366,26.42561245,33.00703109,1021.53769,27.50285229,183,183,183,183,3.326879390658352,1.3027853485386869,1.9778300108460396,15.89324494502275,19.46794319,29.25468457,1018.140789,0.150635352,27.82154709,34.88147984,1025.048342,54.61214925
A02B,4,Amarales,2,A02,2.816773,-78.22249,04/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,37,35,26.383295147386363,32.41865278806818,1021.0683865454546,26.459838495971592,27.70584492,32.198365265,1020.4999935,26.470548945,176,176,176,176,2.2708307241594747,1.4112128970202478,1.7621526400922438,15.306558319502566,21.01991081,26.56468867,1015.47433,0.151030684,29.83610138,34.59555786,1024.40223,52.60954999
A03A,5,Amarales,3,A03,2.784222,-78.222462,03/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,24,47,26.20697773852459,32.72998822557377,1021.330216090164,18.33436573002459,26.853110735,32.746451245,1021.151543,18.339065755,122,122,122,122,1.652146534856077,1.3223298532885062,1.4106885081718874,10.621446679977849,22.75181864,26.5092423,1016.337786,0.150902312,27.92197228,34.37062257,1023.683093,36.59129347
A03B,6,Amarales,3,A03,2.784222,-78.222462,03/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,35,50,27.26212178948276,31.433320432586207,1020.0255527672414,17.454396252155174,27.763019825,31.7489849,1020.083062,17.459787509999998,116,116,116,116,1.0602912243679463,1.506298651837016,1.4003772108204966,10.112708232331206,24.05914688,27.85806369,1017.117093,0.150784844,27.83531159,33.84569394,1022.804945,34.70213114
A04A,7,Amarales,4,A04,2.751671,-78.222434,03/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,24,34,27.666488995,32.11820258708333,1020.3698374583332,7.219274716083333,27.613466265,32.44240087,1020.620007,7.2170632945,48,48,48,48,0.15893458806727706,0.6377999925790807,0.5068941292739325,4.2130800767358965,27.45196652,30.39870202,1019.081897,0.150494434,27.91918549,32.52306253,1020.773651,14.41665955
A04B,8,Amarales,4,A04,2.751671,-78.222434,03/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,35,50,27.793038042380953,31.36005509809524,1019.7561706190476,6.319760342928571,27.81795311,31.81435354,1020.0891005,6.3195727795,42,42,42,42,0.0458474635699066,1.0513064611665877,0.7880851767626251,3.690953379710635,27.69477932,28.52923365,1017.627178,0.150711136,27.8294678,32.06327896,1020.297443,12.5209493
A05A,9,Amarales,5,A05,2.71912,-78.222406,03/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,25,53,27.690828482727273,30.80785356,1019.3613295454544,3.3118465597272726,27.76149037,31.4843095,1019.846515,3.3122057605000004,22,22,22,22,0.1579716438833219,1.4206243822981823,1.0230650169818525,1.95402039921741,27.27080536,26.97624126,1016.605994,0.150861523,27.81376041,31.79901801,1020.074196,6.475764913
A05B,10,Amarales,5,A05,2.71912,-78.222406,03/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,41,54,27.725162987333334,30.023572900666668,1018.757537,2.2558213737333332,27.71758175,30.03696981,1018.76974,2.260020395,15,15,15,15,0.02266274703066449,1.3153602895500598,0.9858427880771322,1.3405931351802052,27.69648605,27.79743585,1017.084606,0.15079108,27.76385728,31.31446189,1019.722415,4.313765576
A06A,11,Amarales,6,A06,2.686569,-78.222378,03/05/2021,8:20:00,Alta,0.77,1.17,0.38,25.2,4.6,43.2,27.4,8.14,6.33,1.8,37.75,46,52,27.60002334475,29.02818771825,1018.066515575,6.0264523821,27.657846295,29.496621034999997,1018.397881,6.0281839405,40,40,40,40,0.09521844295455556,0.7913340094695672,0.5769399931170905,3.520012383554773,27.40269582,27.39351835,1016.877131,0.150821328,27.67968483,29.64837425,1018.533853,11.85795955
A06B,12,Amarales,6,A06,2.686569,-78.222378,03/05/2021,14:19:00,Baja,0.92,1,0.2,28.01,4.73,40.4,25.8,8.16,6.16,2,49.9,46,50,27.679770569565218,26.61055107521739,1016.218404347826,3.468899675173913,27.68044095,26.59697956,1016.207952,3.472826789,23,23,23,23,0.02221594731815173,0.7108622699998489,0.5478752762891992,2.0416961171102814,27.65101624,25.71884596,1015.528769,0.15102241,27.71798767,27.62546416,1017.000747,6.716306536
